branch	sha
experiment/relevance-result-propagation-marginal-v48	f0c358c6867d55c7b3ceb9815cd83d91ce2a08d9
experiment/relevance-terminal-mask-quotient-v58	604841b69793d18e481e3e10161ae89d282862de
experiment/relevance-terminal-mask-transfer-v59	df88e5e79e68cc1ddf08b945c64d56b99f489d53
experiment/relevance-transient-typed-bvar-v45	8297fbc7bb9e20ad756573931e12d85b6e0d9ccc
experiment/residual-constraint-closure-retrospective	57029e4c64a68be109b34cf9d1be042fc375f710
experiment/residual-driven-refinement-v110	24f783dc4e1337cfc0e3152f6bf5781cc473f8c1
experiment/residual-grandchild-atlas-v111	ba35c9df1efcd0420190fe5621d320a6bf4977fb
experiment/restore-recursor-negative-tests-v97	e4ba5230f2d13ea86d8bbf71df134b446456793c
experiment/rigid-payload-caller-census-v39	d106f91da56d2df0edc89f7106046a81f286250b
experiment/semantic-join-sealed-world	f3f0f021cd269fd03eeec5f960f4265058f324c9
experiment/semantic-trajectory-quotient-census-v37	339396fab0d80bb86e9454bad61040c6e7a5875e
experiment/shorter-spine-threshold-jump	29dc9be81aef834d5045dab05d4a664776105af1
experiment/soko-lineage-transplant-v61	d884cb658a2dbdc274fc618868d9294186dbbfa5
experiment/sparse-adaptive-v103	c02f65670a87b0663b602296c3d4a080f7b1e44b
experiment/sparse-admission-census-v107	92ab291f70afb70eebedcd27d43ef63d0a85e586
experiment/sparse-feature-atlas-v108	fd9fa97d7671ac203576155b27a1bc72b912a1c7
experiment/sparse-open-eval-demand-key-v25	91da80ded96d7864b597b16faf9e1b4933675028
experiment/spine-probe-cost-census	8216d57ebc703f65b994317c2a40bbbfe0d2f32e
experiment/split-lambda-capture-v32	f2d51af77f56cb9674ddb8deaec0d63ddbcbfe7f
experiment/structural-open-cache-key-ab	cdaa0647ec40e0a0c8208a7473ef5f6004afa401
experiment/tiny-canonical-env-ab	4b7e44093d56698adde1abdd3479556a4d0d2b80
experiment/unfold-continuation-depth-census	cb60b02c9dbb92cb9be0fe9c25c16a6535a6766d
experiment/unfold-continuation-tournament-v35	583281be66bb986e8ecd08bf1ca50a6dd4f372b5
experiment/unfold-hint-route-census	263af9c4af0f776ea1612ca9274407c60e5aa2d9
experiment/unfold-outcome-census	5c22946bd3b89dc2246a0ac700dfebfddd98d138
experiment/unfold-same1-mathlib-gate-v36	51449393f77d674ff84437af354a4ad7002037ca
experiment/upstream-rebase-v114	875cabdc77ed3d3dfada8ab7aa36ccf940b0c61e
experiment/v2-eval-line-atlas	2ed273c975ec19a99aecdf436314e36e7cf4ca1d
experiment/v2-open-eval-cache-economics	8eb24095c19f8034ffd9cf6dba080e78a077ce84
experiment/v2-real-hotspot-atlas	9f57503d605f0ce0fc9c548cb3f1b1e882a6bf9e
experiment/v3-app-closed-lambda-separator	2db92006eb8294678da9109f087bc3f61c247e08
experiment/v4-producer-unused-lambda-quotient	4b294fa5a437aeba16f4b1625ab3b2b961199af4
